image_name,center_x,center_y,width,height
test_0003.jpg,406,502,32,22
test_0004.jpg,1044,479,39,29
test_0005.jpg,1708,519,22,20
test_0006.jpg,1293,399,31,26
test_0006.jpg,1538,237,40,27
test_0008.jpg,49,647,30,25
test_0008.jpg,52,525,20,18
test_0009.jpg,636,491,18,18
test_0009.jpg,1479,420,16,15
test_0010.jpg,1658,610,25,24
test_0010.jpg,1630,530,19,19
test_0012.jpg,984,408,31,25
test_0012.jpg,1267,210,47,32
test_0014.jpg,1289,580,21,20
test_0014.jpg,634,487,18,21
test_0015.jpg,546,558,17,19
test_0016.jpg,177,226,47,40
test_0021.jpg,1036,158,33,31
test_0021.jpg,975,292,22,20
test_0023.jpg,494,561,16,18
test_0024.jpg,1677,274,37,35
test_0029.jpg,1428,489,44,34
test_0029.jpg,686,411,17,16
test_0031.jpg,145,625,26,21
test_0031.jpg,146,508,20,18
test_0032.jpg,1617,136,34,32
test_0033.jpg,404,429,30,24
test_0033.jpg,1075,542,18,18
test_0034.jpg,774,550,33,23
test_0034.jpg,868,480,22,23
test_0035.jpg,1138,589,16,18
test_0036.jpg,557,520,75,61
test_0037.jpg,1210,662,19,19
test_0039.jpg,1717,494,24,22
test_0040.jpg,574,471,70,53
test_0042.jpg,1065,548,19,18
test_0043.jpg,1746,484,26,21
test_0044.jpg,1241,287,37,31
test_0046.jpg,1106,182,91,91
test_0046.jpg,600,805,103,108
test_0047.jpg,757,230,36,32
test_0048.jpg,1047,274,25,24
test_0048.jpg,999,419,22,18
test_0050.jpg,403,228,183,124
test_0052.jpg,1107,582,52,39
test_0052.jpg,764,416,35,25
test_0053.jpg,976,45,34,27
test_0053.jpg,761,266,33,27
test_0055.jpg,1396,310,91,71
test_0055.jpg,407,638,135,90
test_0057.jpg,268,329,38,31
test_0059.jpg,177,450,35,29
test_0060.jpg,1679,281,33,30
test_0062.jpg,701,481,45,36
test_0062.jpg,1117,525,19,19
test_0063.jpg,1042,565,13,16
test_0066.jpg,541,489,63,44
test_0067.jpg,483,471,27,26
test_0068.jpg,1096,618,21,19
test_0068.jpg,664,535,21,20
test_0069.jpg,1881,429,29,22
test_0070.jpg,1899,609,25,17
test_0070.jpg,1872,510,18,20
test_0071.jpg,636,488,19,19
test_0071.jpg,1423,402,15,17
test_0072.jpg,243,511,40,31
test_0072.jpg,1075,527,18,18
test_0075.jpg,1605,506,23,23
test_0077.jpg,130,290,36,29
test_0078.jpg,131,292,34,30
test_0080.jpg,1252,571,19,20
test_0080.jpg,785,404,17,18
test_0082.jpg,580,449,96,69
test_0083.jpg,747,226,25,24
test_0087.jpg,789,518,17,18
test_0087.jpg,583,582,27,24
test_0089.jpg,645,306,36,33
test_0091.jpg,1484,408,25,20
test_0091.jpg,1650,491,25,23
test_0092.jpg,739,628,25,19
test_0092.jpg,817,532,17,17
test_0093.jpg,697,235,26,26
test_0094.jpg,784,408,46,32
