image_file,center_x,center_y,width,height
img_0001.jpg,107,370,50,35
img_0002.jpg,263,344,56,39
img_0003.jpg,430,326,52,40
img_0004.jpg,606,318,53,42
img_0005.jpg,808,307,53,38
img_0006.jpg,1037,296,52,40
img_0007.jpg,1290,292,57,41
img_0008.jpg,1545,288,56,38
img_0009.jpg,1767,289,55,40
img_0010.jpg,1840,292,51,42
img_0011.jpg,1779,289,53,40
img_0012.jpg,1643,285,48,39
img_0013.jpg,1454,279,54,40
img_0014.jpg,1254,283,49,38
img_0015.jpg,1048,290,50,36
img_0016.jpg,848,291,45,41
img_0017.jpg,783,292,47,38
img_0018.jpg,697,291,50,34
img_0019.jpg,556,286,48,40
img_0020.jpg,395,283,51,40
img_0021.jpg,341,282,46,35
img_0022.jpg,351,274,53,38
img_0023.jpg,359,249,44,36
img_0024.jpg,372,237,51,41
img_0025.jpg,398,238,49,40
img_0026.jpg,440,260,45,37
img_0027.jpg,487,294,44,32
img_0028.jpg,530,330,46,32
img_0029.jpg,570,372,41,28
img_0030.jpg,600,408,39,27
img_0031.jpg,623,436,32,25
img_0032.jpg,634,437,34,25
img_0033.jpg,638,415,30,25
img_0034.jpg,642,379,30,23
img_0035.jpg,642,342,32,24
img_0036.jpg,646,306,29,24
img_0037.jpg,679,284,31,24
img_0038.jpg,746,266,32,25
img_0039.jpg,838,247,29,24
img_0040.jpg,947,227,32,25
img_0041.jpg,1070,215,30,26
img_0042.jpg,1198,210,31,26
img_0043.jpg,1323,204,32,25
img_0044.jpg,1404,202,30,28
img_0045.jpg,1384,204,31,26
img_0046.jpg,1320,205,32,27
img_0047.jpg,1206,209,30,26
img_0048.jpg,1085,216,30,24
img_0049.jpg,951,223,30,25
img_0050.jpg,752,231,28,26
img_0051.jpg,605,241,31,24
img_0052.jpg,493,250,32,26
img_0053.jpg,469,255,30,26
img_0054.jpg,401,252,32,26
img_0055.jpg,315,249,27,25
img_0056.jpg,294,245,33,24
img_0057.jpg,287,256,32,25
img_0058.jpg,280,284,29,25
img_0059.jpg,255,314,32,26
img_0060.jpg,196,345,35,25
img_0061.jpg,123,377,32,26
img_0062.jpg,87,409,33,27
img_0063.jpg,116,438,35,24
img_0064.jpg,140,447,34,25
img_0065.jpg,177,450,28,25
img_0066.jpg,258,444,33,25
img_0067.jpg,379,433,33,27
img_0068.jpg,530,422,35,27
img_0069.jpg,692,421,36,29
img_0070.jpg,777,434,35,26
img_0071.jpg,839,445,35,25
img_0072.jpg,909,487,28,23
img_0073.jpg,927,513,27,24
img_0074.jpg,943,537,24,21
img_0075.jpg,957,557,23,17
img_0076.jpg,965,567,22,20
img_0077.jpg,972,573,19,18
img_0078.jpg,981,579,18,14
img_0079.jpg,985,582,21,14
img_0080.jpg,996,578,16,14
img_0081.jpg,1045,570,18,14
img_0082.jpg,1123,559,19,14
img_0083.jpg,1220,549,19,14
img_0084.jpg,1327,543,18,17
img_0085.jpg,1439,543,19,15
img_0086.jpg,1552,544,19,17
img_0087.jpg,1641,545,17,14
img_0088.jpg,1697,541,21,15
img_0089.jpg,1725,530,18,15
img_0090.jpg,1708,519,19,14
img_0091.jpg,1664,511,21,16
img_0092.jpg,1605,506,19,16
img_0093.jpg,1545,506,22,17
img_0094.jpg,1475,509,19,14
