epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,752.407,2.16052,3.59767,0.98343,0.89622,0.74107,0.80487,0.34839,1.92458,1.29775,0.84463,0.000664723,0.000664723,0.000664723
2,1464.59,1.87675,1.10163,0.90278,0.90835,0.75,0.77877,0.36291,1.87257,0.88904,0.83577,0.00130942,0.00130942,0.00130942
3,2174.55,1.89724,1.01876,0.8992,0.91305,0.75009,0.83996,0.43477,1.67559,0.80722,0.83581,0.00193212,0.00193212,0.00193212
4,2879.02,1.83149,0.97404,0.89792,0.898,0.8125,0.83437,0.41934,1.83326,0.75393,0.83745,0.001901,0.001901,0.001901
5,3576.9,1.81719,0.93576,0.9176,0.89432,0.77679,0.82804,0.42172,1.74028,0.77706,0.8361,0.001868,0.001868,0.001868
6,4273.14,1.80693,0.89867,0.88218,0.94738,0.79464,0.84796,0.45353,1.69308,0.73405,0.83667,0.001835,0.001835,0.001835
7,4974.19,1.73107,0.86719,0.88708,0.90426,0.77679,0.83488,0.40532,1.89756,0.76704,0.83259,0.001802,0.001802,0.001802
8,5690.13,1.79404,0.90959,0.88129,0.9631,0.79464,0.86765,0.47245,1.62582,0.69726,0.82687,0.001769,0.001769,0.001769
9,6425.16,1.74234,0.87991,0.89385,0.97683,0.75296,0.86511,0.50573,1.46841,0.70626,0.81712,0.001736,0.001736,0.001736
10,7146.36,1.72878,0.88569,0.87476,0.97825,0.80331,0.86214,0.47018,1.59334,0.71613,0.82219,0.001703,0.001703,0.001703
11,7859.81,1.71679,0.84242,0.87809,0.91838,0.80368,0.89595,0.50378,1.50007,0.66892,0.82114,0.00167,0.00167,0.00167
12,8558.34,1.68531,0.82892,0.88652,0.86368,0.77679,0.83547,0.4804,1.55359,0.68735,0.82696,0.001637,0.001637,0.001637
13,9292.42,1.69826,0.85956,0.88384,0.92279,0.77679,0.83999,0.41782,1.89771,0.7733,0.8394,0.001604,0.001604,0.001604
